Genre,link
Action,https://www.allmovie.com/genre/action-d646
Adult,https://www.allmovie.com/genre/adult-d995
Adventure,https://www.allmovie.com/genre/adventure-d647
Avant-garde / Experimental,https://www.allmovie.com/genre/avant-garde-experimental-d658
Children's/Family,https://www.allmovie.com/genre/childrens-family-d660
Comedy,https://www.allmovie.com/genre/comedy-d648
Comedy Drama,https://www.allmovie.com/genre/comedy-drama-d531
Crime,https://www.allmovie.com/genre/crime-d653
Drama,https://www.allmovie.com/genre/drama-d649
Epic,https://www.allmovie.com/genre/epic-d657
Fantasy,https://www.allmovie.com/genre/fantasy-d650
Historical Film,https://www.allmovie.com/genre/historical-film-d685
Horror,https://www.allmovie.com/genre/horror-d654
Musical,https://www.allmovie.com/genre/musical-d655
Mystery,https://www.allmovie.com/genre/mystery-d651
Romance,https://www.allmovie.com/genre/romance-d948
Science Fiction,https://www.allmovie.com/genre/science-fiction-d652
Spy Film,https://www.allmovie.com/genre/spy-film-d515
Thriller,https://www.allmovie.com/genre/thriller-d942
War,https://www.allmovie.com/genre/war-d947
Western,https://www.allmovie.com/genre/western-d656
